amplitude offset frequency phase
1.822351228534102363e+00 8.023198254152896780e-02 3.193616099715645973e+00 9.141301814088159672e-01
1.811919783460831601e+00 1.311373147316947652e-01 3.193464453428739525e+00 9.530591091276637838e-01
1.972424320952279375e+00 1.570557648626569325e-01 3.210943298682178870e+00 8.826541711150748259e-01
1.764821008876502395e+00 1.949354167862171749e-02 3.176850563337265676e+00 1.055618630132324709e+00
1.765626997210929527e+00 2.734091591861802506e-01 3.190204621270513741e+00 9.371779196637182174e-01
1.913740921191346978e+00 1.834352028825971814e-01 3.199871020710117087e+00 9.587854800057703519e-01
1.888836584822475739e+00 9.142001019090750802e-02 3.221576877583831600e+00 8.477491824624597827e-01
1.714129534436929170e+00 1.530289431720510684e-01 3.174344798130182443e+00 1.079238796118707766e+00
1.735800983892607841e+00 8.631766539985585851e-02 3.221022334995891523e+00 8.674875767164056395e-01
1.762356796320132757e+00 5.890190197300526620e-02 3.144280674638992856e+00 1.077157258892490477e+00
1.875080942645409365e+00 1.719295194953569528e-01 3.206555791348904449e+00 8.603366356274234628e-01
1.795936053517293907e+00 2.357541204558648573e-01 3.200899708587006565e+00 9.046275522048011775e-01
1.846896981473592492e+00 1.451425765382423627e-01 3.255208365668102566e+00 8.382329468146266782e-01
1.970003144400678030e+00 3.569552633587091961e-02 3.231298269089511788e+00 8.098097690261247816e-01
1.818042560302699728e+00 1.841936546598366142e-01 3.171680550178306746e+00 1.058498667578353203e+00
1.823709990671000813e+00 7.187942218351395240e-02 3.186283606948779212e+00 1.003692585356687594e+00
1.878759336680139169e+00 1.373660040919766345e-03 3.175727119063023629e+00 1.046298319417673595e+00
1.835259105443097116e+00 1.094338883085508307e-01 3.213706630644025619e+00 8.358925223396518334e-01
1.768339402276759564e+00 6.396953184978304563e-02 3.194840175628413714e+00 9.569195376629806571e-01
1.783855302133992460e+00 2.966240222904579227e-01 3.234084827365693471e+00 8.231288745226559289e-01
1.790051604278143360e+00 1.256398098447633060e-01 3.218563140354686603e+00 9.099801718819295893e-01
