location amplitude width
5.001335929356201291e+02 2.078934546820301321e+01 3.943241147188413454e+00
5.000014762761095994e+02 2.062604138048356006e+01 4.075910295487375379e+00
5.000418164581802785e+02 1.952225924602086948e+01 4.396810796713993774e+00
4.998494320109683144e+02 2.016338832640705547e+01 3.773832762693303255e+00
4.998839271006387435e+02 1.815745552320283451e+01 4.245572678834522939e+00
4.998761356748743765e+02 1.930993506978433061e+01 4.454981261282207505e+00
4.998761356748743765e+02 1.930993506978433061e+01 4.454981261282207505e+00
5.003716459929852931e+02 1.927936979602810297e+01 4.194307293196855468e+00
4.998924379825494952e+02 1.913678094773273841e+01 4.127008436458126539e+00
5.000069427390205874e+02 1.890096414264089830e+01 4.165063880605813118e+00
4.997657885867113805e+02 1.927500349574664185e+01 4.074401505605131923e+00
5.001277380256374272e+02 1.751252628686162183e+01 4.355611506975049174e+00
4.999930863818365196e+02 1.942519905662067004e+01 4.307660102885402686e+00
5.000212093601772949e+02 1.923790381151830786e+01 4.433952818546272212e+00
4.997603010007210855e+02 1.848182985067451511e+01 4.372739825531629876e+00
4.999540308266442707e+02 1.929627827680159768e+01 4.028860818265949106e+00
4.998711973688177750e+02 1.907010812795421373e+01 4.290234861257713028e+00
4.996772270747429161e+02 1.988855615268248300e+01 4.050272938181209703e+00
5.001859957133237913e+02 2.086352989616597498e+01 3.648299007822041862e+00
5.000331814056294206e+02 1.970332548239259651e+01 4.084932689954274387e+00
5.000192177951504391e+02 1.990138058884906513e+01 4.243337047021025654e+00
5.000558577523547683e+02 2.014424410256254205e+01 4.138881370341793264e+00
5.002775679844089609e+02 1.904289964837921190e+01 3.950495256612394979e+00
4.997609224903965242e+02 1.864192443516694198e+01 4.833586574240256617e+00
4.998859320488608660e+02 2.037578391137282452e+01 4.197000797821972107e+00
4.997441830018075279e+02 1.990529922537234597e+01 3.979782553841555437e+00
5.003134288188905430e+02 1.969632258416551451e+01 3.905891296498786414e+00
4.998977958671960096e+02 2.037054070192339239e+01 3.844151215314858483e+00
4.999343569334961330e+02 2.003049106713434568e+01 4.021251050260234550e+00
4.998595517572159679e+02 1.958299740839967384e+01 3.972486764129266046e+00
4.998499279211934549e+02 2.024449190093270445e+01 3.635334255603536846e+00
5.002171717057456704e+02 2.020948357335343104e+01 4.160559722403571747e+00
4.998595517572159679e+02 1.958299740839967384e+01 3.972486764129266046e+00
4.999101085233696722e+02 2.064235757224460954e+01 3.917305516185242364e+00
5.004024709493825185e+02 2.028418606422289372e+01 4.194404281516662891e+00
5.002939138000225512e+02 1.996794005643151593e+01 4.150369114738851728e+00
5.000105416676851746e+02 1.901246528423532212e+01 4.304575378366626737e+00
5.003199364968747886e+02 1.964786107627777056e+01 4.208311801161714882e+00
5.001510912144332224e+02 2.041444420730683973e+01 3.812289491779640382e+00
5.002283570760627640e+02 1.925364840987672110e+01 4.106893361387525587e+00
4.996904633671310307e+02 1.888515801757143819e+01 4.145804150093855611e+00
5.001483937712382044e+02 1.936504138932017582e+01 4.370938966889351462e+00
5.000906916625763188e+02 2.005775456128129974e+01 3.926486260055607413e+00
5.000272290402809858e+02 1.881220120475566659e+01 4.255398191220240101e+00
4.997523674321365093e+02 1.902011486112461824e+01 4.207935725546257721e+00
4.998938969385496875e+02 1.967154821115929764e+01 4.215981533203999376e+00
5.000337454369607144e+02 2.039047421345640743e+01 4.257259093592755228e+00
4.999757185979029828e+02 1.876535611262826464e+01 4.420028885667688812e+00
4.999631530849048318e+02 2.097597887810169937e+01 4.012524906057488572e+00
