weight logl location amplitude width
2.474176439625939336e-243 -6.219988183810895634e+02 6.601902047778963833e+02 4.083571090673126847e+00 3.704248997648812747e+01
6.901909552975314596e-242 -6.186678427569518135e+02 6.281602020633717984e+02 1.314777736326929869e+01 3.358020644186910264e+00
4.326708787944388427e-239 -6.122245784402609843e+02 5.850365478091119940e+02 1.719880663433273327e+01 1.141024834897730100e+00
2.028487964012458484e-238 -6.106770098348949887e+02 7.056266527873083305e+02 1.456567144369252276e+01 2.779878582248113350e+00
8.502103941003308776e-232 -5.954259762917967009e+02 5.648133685812176736e+02 1.099822999625849285e+01 5.010772277293114030e+00
1.055153095545705290e-227 -5.859971786115037276e+02 4.680081917407034098e+02 1.957129104594604385e+01 1.058274533161064346e+00
1.564532634462395859e-227 -5.856007773388998885e+02 5.763392120100380680e+02 1.438860972307652020e+01 2.186868857311855763e+00
4.222317229461240827e-223 -5.753951400263373444e+02 4.620750920568195852e+02 3.688598655771895807e+01 1.061808639567482615e+00
7.406562275603192750e-223 -5.748306577089479106e+02 7.438770866139138889e+02 5.115812503768442987e+00 1.269186195998354627e+01
6.779967366155028753e-220 -5.680087965425175298e+02 6.243088272600845130e+02 3.387917921812077182e+00 3.564716531742693206e+01
2.930079107990522797e-219 -5.665426543162341204e+02 5.375655600138794625e+02 3.044136691152189300e+01 2.118419845436777249e-01
1.186830709150975939e-218 -5.651413121605282868e+02 6.387062230456181169e+02 1.423273322662244667e+01 1.066592287691465524e+00
2.644855931619392162e-216 -5.597323118636005574e+02 6.703011976923253314e+02 6.353251983707135508e+00 8.228812035302752292e+00
2.604776589967707922e-214 -5.551399113637235132e+02 4.456606373079171703e+02 3.604686479626906959e+01 9.080351236487211875e-01
2.385377571534480461e-211 -5.483176455715339443e+02 6.552813469635982528e+02 1.179296066695356693e+01 8.920576322533081415e-01
1.153833933014080789e-210 -5.467388276490695489e+02 4.313651241980438158e+02 3.193188200914181873e+00 2.696946455723356095e+01
3.348352545784394123e-210 -5.456709494537692535e+02 5.975711339055968665e+02 7.912563838371029945e+00 3.532735933398584827e+00
9.483289908192539353e-210 -5.446273866084735573e+02 5.652009685432934702e+02 5.142452323614540433e+01 3.008691945377792720e-01
1.308348177196869418e-207 -5.396978972141540680e+02 6.684241832982627329e+02 2.349208544020516598e+01 4.083927005517328235e-01
3.802502147481857357e-207 -5.386285033123778021e+02 4.386215675707294395e+02 6.488944904551820159e+00 4.160139685830515965e+00
5.678554448660482165e-207 -5.382249659204165937e+02 4.788758644965841995e+02 7.708634021173297768e+00 4.647505069755941243e+00
2.184658359572127768e-205 -5.345725329771488532e+02 6.744214131615216274e+02 1.565840386398549278e+01 1.252223545850968067e+00
7.299077127428290093e-205 -5.333637445170337514e+02 6.020723172575929993e+02 1.161380272075793840e+01 8.612474896124512336e-01
1.627184950284312705e-204 -5.325595558458746837e+02 6.905947273915313644e+02 1.174377801499400498e+01 2.126095718122547940e+00
2.969064011551815750e-204 -5.319556605877825177e+02 6.311384765291513759e+02 7.343295303960126752e+00 3.448607384253508545e+00
1.436878975536474931e-201 -5.257711786809949217e+02 7.908416574537043289e+02 2.647653386973824752e+01 7.246859115567274578e-01
1.073090455089200391e-200 -5.237580242101221302e+02 7.718087140191311164e+02 1.856059240605456351e+00 3.414789203268758229e+02
4.390200945462811107e-200 -5.223466919718324561e+02 6.693609360799267733e+02 6.499254331993135736e+00 4.857270645805261466e+00
4.111294949530135977e-198 -5.178046587335762752e+02 5.170659259345386545e+02 8.424780763188531196e+00 2.502083349182481875e+00
2.264405252233575353e-196 -5.137934144566906980e+02 7.053875935274286348e+02 6.254235783994345432e+00 4.757715307275952377e+00
2.326245387798942755e-196 -5.137639710530537513e+02 5.982807381665425055e+02 8.298815974539941465e+00 8.265373524136706562e-01
2.753033968999521978e-196 -5.135930230343625453e+02 4.896818976010841880e+02 6.593263933790670706e+01 5.502770803142265077e-01
1.241581904908722125e-195 -5.120842552100253897e+02 5.848614500519140620e+02 8.882040193067128442e+00 1.650909333667460954e+00
8.898479878623641929e-195 -5.101122610443602525e+02 5.532206909601735560e+02 3.862328043035913794e+01 8.400923486534890294e-01
1.161835330275850887e-194 -5.098430554773011636e+02 7.695614999863703360e+02 1.867050133994577532e+00 4.719462433590951633e+01
1.300102145417954323e-193 -5.074255284855883588e+02 4.043357248772394428e+02 1.213969646417364245e+01 1.078325164171935135e+00
5.613202496230606309e-193 -5.059603499087655791e+02 7.195847753989926332e+02 5.271150599653246616e+00 4.830788898878962456e+00
1.873933303097790398e-191 -5.024497615418594592e+02 4.526475973340653240e+02 6.113853257249842521e+00 2.276234251552352816e+00
3.679355499949060284e-191 -5.017725635334201115e+02 7.101023705534415740e+02 3.421097558117209392e+00 1.083698542509904961e+01
4.123890748862498565e-190 -4.993534189671280501e+02 5.544821262633654442e+02 8.634069208345085400e+00 1.908224866318748658e+00
1.192412883878849945e-189 -4.982891520606306131e+02 4.029283499810392186e+02 4.639903122140898617e+00 5.149998909086709098e+00
2.313348690334042088e-188 -4.953213497310958360e+02 5.745078410801610289e+02 7.399130432495493181e+00 5.672978753470137026e-01
5.001145675263389840e-188 -4.945478788341579843e+02 6.750480463819362740e+02 1.235523763000017539e+01 4.876174117479016301e-01
5.254906333290566185e-188 -4.944958836755297398e+02 5.204971883667230941e+02 4.350890825858705568e+00 4.085528491550015850e+00
9.948084490257380594e-188 -4.938551658363019214e+02 6.966793198418627071e+02 5.856879954296529966e+00 2.692690966127812668e+00
1.120751983104837041e-186 -4.914308757959129821e+02 5.293479450623467528e+02 5.686680817951363487e+00 1.944198289874318064e+01
1.984286964867997636e-186 -4.908571160314554618e+02 7.483248705846756366e+02 2.997328398146101947e+01 7.236645577413476360e-01
2.332857563813554425e-186 -4.906927817310354953e+02 7.416113614386044901e+02 5.291376118302284048e+00 2.569851499657554328e+00
3.347311167528800011e-186 -4.903292182824160363e+02 5.889470287411012350e+02 9.368408314668009496e+00 7.801339259183573960e-01
3.809145142201443302e-186 -4.901974708775713907e+02 6.214234486475493213e+02 5.412011724355995312e+00 3.716061403320331191e+00
2.574565245610948551e-185 -4.882841098932099158e+02 4.425274441117645665e+02 3.278471337948664299e+00 2.621975561976846336e+00
2.757485891195794558e-185 -4.882129712208028423e+02 6.404779408824820166e+02 1.581809148562120182e+00 2.958391334462283950e+01
4.175030639357931713e-185 -4.877956688793709077e+02 7.877105969406942449e+02 1.226391152121964145e+00 6.133733893568037132e+01
1.198896943799495024e-184 -4.867383035628633934e+02 7.730986243737853556e+02 5.237980630871761356e+00 6.815639487516028661e-02
1.628125233690727749e-184 -4.864297762939278869e+02 7.249765044079042582e+02 2.434257026283051406e+00 6.041271782066118590e+00
3.616067969277990308e-184 -4.856293182442542502e+02 7.824861951597748657e+02 3.215937315856698575e+01 3.778668713190271866e-01
5.460043832630653005e-184 -4.852147486657422064e+02 6.195798859497147077e+02 4.103544697936624885e+01 5.196921581714037952e-01
